saved_as,original_filename,artifact_id,version_id,content_type,size_bytes
table_index.md,table_index.md,e28d3606-adaa-4fc4-96b4-4d152dd7aa6b,c61c4f22-390b-4d88-81f9-72973062fc3c,text/markdown,1909
Non Trivial Fellowship Report - v3.docx,Non Trivial Fellowship Report - v3.docx,08298a58-ef1d-4676-8ff7-9523588fb588,62dc6269-8412-4bef-a4a0-5e6685c59ea7,application/vnd.openxmlformats-officedocument.wordprocessingml.document,2548489
data_verification.md,data_verification.md,f4f68b4d-79fc-4512-a31a-2849968a2065,a79e05de-2d70-49e1-a782-f45eee9cbb8e,text/markdown,3840
Non Trivial Fellowship Report - submission.docx,Non Trivial Fellowship Report - submission.docx,2f36b36d-05ea-4f28-a525-efe349271730,6415b1ef-9286-441f-bf3d-3b18c789f3f5,application/vnd.openxmlformats-officedocument.wordprocessingml.document,2546591
Non Trivial Fellowship Report - final.docx,Non Trivial Fellowship Report - final.docx,7215f236-3658-466e-962f-c44fc2a14184,7520e732-7625-45fe-830f-ee08cfcc685e,application/vnd.openxmlformats-officedocument.wordprocessingml.document,2546485
Appendix_dengue_NS1_report__d997df3f.docx,Appendix_dengue_NS1_report.docx,d997df3f-3c95-4a39-b721-b8c8fad70e91,a30ffd4c-7fc5-4b09-8842-c18681e86eba,application/vnd.openxmlformats-officedocument.wordprocessingml.document,74006
fig_published_antibodies.png,fig_published_antibodies.png,b66c4351-89a8-4e5c-a2e4-53113e8845f1,309ee969-f9c7-4d0c-bf77-05cb1c3b7894,image/png,193659
fig_conservation_planned_vs_realised.png,fig_conservation_planned_vs_realised.png,1ffe1c47-d723-4864-a2f9-73a570099138,8130f85c-dbd3-4cf6-bc69-36fc2cd84a92,image/png,165451
deck_changes.md,deck_changes.md,adf85f3a-0271-4ee3-8942-6eb3c34b9bc5,fc48446d-493f-4209-91ac-c9e52eef6a14,text/markdown,4173
Pitch Deck.pdf,Pitch Deck.pdf,c42a6c63-86e2-47d2-b09d-95b4b71854a2,5373693e-791e-45d4-a0dc-319dc89253e6,application/pdf,85419325
change_log.md,change_log.md,016b2581-68a1-4609-ac27-35672896a39d,8c9dabdb-d311-4e55-9fad-5b3b94684d65,text/markdown,5620
Non Trivial Fellowship Report - edited.docx,Non Trivial Fellowship Report - edited.docx,c9a96228-fa61-4756-9619-a08d0ef12ddb,c91e1513-8282-49cd-a0c6-63925a76285e,application/vnd.openxmlformats-officedocument.wordprocessingml.document,2505786
Non Trivial Fellowship Report- Kaeyura and Rabaani-2.docx,Non Trivial Fellowship Report- Kaeyura and Rabaani-2.docx,d396c327-d8cd-439f-8283-013d0be3cb55,b2cea7db-27de-439b-96db-23f75b923970,application/vnd.openxmlformats-officedocument.wordprocessingml.document,1892070
review_response_2.md,review_response_2.md,3867e827-91da-4b9d-8e00-5db396b26076,bbfdbfae-eb8d-44df-8732-e21646446489,text/markdown,5488
fix_21_para.txt,fix_21_para.txt,8aed7b2e-526f-4861-8c7b-c5a4f14e1f2c,f5da8d6f-d1c4-4064-aff3-5680a51e0d1e,text/plain,986
review_response.md,review_response.md,f4a55e2a-5cae-4224-866d-e053cce44750,bd6f3e6d-2872-4248-bd0b-f84971101b03,text/markdown,4258
Non Trivial Fellowship Report- Kaeyura and Rabaani.docx,Non Trivial Fellowship Report- Kaeyura and Rabaani.docx,705cb448-d4ee-43ac-b830-fcd8df2d8c29,78175731-1e3d-4552-adfb-db0bb3c8285c,application/vnd.openxmlformats-officedocument.wordprocessingml.document,1892310
fig12_triangle.png,fig12_triangle.png,82ede67a-c01b-4646-86d6-f2dccfd2721a,3586567a-5f8e-4088-a6bb-e1881ee8f7b8,image/png,179396
fig13_triangle.png,fig13_triangle.png,91d1f41e-be00-49f8-90ae-47a15463b2b2,c70a2a2b-2cd9-482b-8da9-c151579d2394,image/png,211646
flow_realism_fixes.md,flow_realism_fixes.md,4b5f641e-f1a3-4af8-870b-beb3336ae2db,1f431f0d-f32e-44ae-bb1e-8ac5d27fb1e6,text/markdown,7675
fig_ns1_kinetics.png,fig_ns1_kinetics.png,ad994dfa-7944-4a4e-9705-fbb5566b6079,31a5c5a2-3ee1-4cbe-bbf4-88dc5dc98fee,image/png,71357
dengue_NS1_report_draft-2__7ce0c29e.docx,dengue_NS1_report_draft-2.docx,7ce0c29e-9272-4e0e-81b0-17399f02d891,f269be5b-cdb0-4cbe-ac8d-4c874a8bc646,application/vnd.openxmlformats-officedocument.wordprocessingml.document,1698071
dengue_video_deck.pptx,dengue_video_deck.pptx,681cf8ed-57f4-4341-b5c4-34b7ba38e67e,040a4578-bf93-4e7d-88cf-860708f687c7,application/vnd.openxmlformats-officedocument.presentationml.presentation,3404661
fig_target_epitope.png,fig_target_epitope.png,f7e05081-1f58-4837-82f7-644123dffad8,c70bc108-214f-48f2-aba0-deea55f75764,image/png,624799
Appendix_dengue_NS1_report__c043da15.docx,Appendix_dengue_NS1_report.docx,c043da15-bd58-439e-8747-61cabb4639b3,eae797bd-a6e9-48b3-8910-451356d25452,application/vnd.openxmlformats-officedocument.wordprocessingml.document,58448
appendix.md,appendix.md,1b7d0d43-a18b-4735-b9b7-b66b6afa7c63,a15fffcb-d896-4c53-92d9-a9892a8cb6f5,text/markdown,38341
references_and_citations.md,references_and_citations.md,87849539-91ac-40e9-b186-6d62c4cc6b5b,b75505cf-4b58-4a8c-a13c-5510bb3ee04b,text/markdown,10995
draft_review.md,draft_review.md,754fd767-d76c-456d-96b6-99f38dbba4b7,ac0b6754-0ea4-4d19-8cbc-a19dd4736314,text/markdown,6803
dengue_NS1_report_draft-2__afa73595.docx,dengue_NS1_report_draft-2.docx,afa73595-89c9-46f5-9f29-051167e6ace4,a38e7d56-7c66-4798-9584-d63d384e5751,application/vnd.openxmlformats-officedocument.wordprocessingml.document,1698403
conclusion_section_draft.md,conclusion_section_draft.md,2c1226c6-e15d-4e1f-9454-402433680599,811270b3-1cbb-4ffc-be40-7e540a82c5d7,text/markdown,2750
introduction_section_draft.md,introduction_section_draft.md,c018c953-8d4c-4433-ac71-1353d0100f10,3e73e546-8fab-4c36-972f-c5c056b5cc8f,text/markdown,6830
writing_guidance_notes.md,writing_guidance_notes.md,7e5beff0-38d5-4d73-a31a-7da34b5bf827,77b517c8-2de8-496a-9b09-eed861e1b7f3,text/markdown,4253
fig19_theory_of_change_chain.png,fig19_theory_of_change_chain.png,dd1b85a9-c6b4-4438-8198-01c409b2bc71,38e50522-70ab-4de3-9a6f-fab9c01c22da,image/png,96512
video_deck.md,video_deck.md,8f87d7d5-34da-4b30-91ba-1667fea381ca,fa12527c-d4b8-4358-8b63-fcd77dd96cbe,text/markdown,13754
literature_review_section_draft.md,literature_review_section_draft.md,0eb0fe81-95d9-4b56-b289-0a63e3474495,dfebab6e-a592-4a71-98ee-52c8e6a83e42,text/markdown,8508
proposed_test_section_draft.md,proposed_test_section_draft.md,0aab3533-af21-4b67-b418-6cc90b7de823,990555b2-d8fa-4d9f-b768-7687f87dcb97,text/markdown,8578
revised_report_outline__da01ff03.md,revised_report_outline.md,da01ff03-c42a-4191-a965-ffe6658227e1,1e521c79-396d-4156-bc10-c5831f12e69b,text/markdown,38041
theory_of_change_section_draft.md,theory_of_change_section_draft.md,756961ba-7e5e-4f40-9eeb-4c488ef830a4,cf1dae25-3b91-41fb-a4e8-1529efac695b,text/markdown,5663
discussion_section_draft.md,discussion_section_draft.md,2aa64861-61ce-4ff7-a987-71d4da19dce2,b608cc87-cc14-477c-bcd6-391d2de841fa,text/markdown,9332
design_shortlist_table.csv,design_shortlist_table.csv,9970811e-d7db-4a5e-8570-1a52c61e011e,748a42ba-d98f-4ebb-b835-89edfd74f1a0,text/csv,763
design_label_map.csv,design_label_map.csv,147318cd-cf96-4e11-b040-2a16f57da99a,6812eca2-9c7a-4404-8469-cd8f9c6c2b96,text/csv,727
word_gap_analysis.md,word_gap_analysis.md,68eec50e-4eea-4cdc-9fe9-1d4a93c867b4,f34a2651-7a75-4162-a15b-6ff60319947a,text/markdown,6280
