name,plddt_binder,iptm,ptm,pae_interface,passes
P1_43_d2,63.86413333333334,0.11,0.25,28.163628709055878,False
P1_50_d2,72.30706666666666,0.11,0.26,27.830378034682084,False
P1_43_d1,60.15093333333333,0.11,0.24,28.184178998073214,False
P1_92_d1,73.30786666666667,0.11,0.24,28.440056069364164,False
P1_92_d2,73.24613333333332,0.11,0.25,28.098507899807323,False
P1_18_d2,71.1272,0.11,0.24,28.377184393063587,False
P1_18_d1,69.30613333333334,0.11,0.25,28.032381695568404,False
P1_88_d2,67.64266666666667,0.11,0.24,28.485689595375725,False
P1_47_d1,70.59520000000002,0.11,0.24,28.41120751445087,False
P1_24_d2,71.57399999999998,0.11,0.24,28.219204431599227,False
P1_22_d1,65.78333333333333,0.11,0.24,28.227478612716762,False
P1_36_d2,72.29546666666668,0.11,0.25,27.84291676300578,False
P1_36_d1,68.306,0.11,0.25,27.795514258188824,False
P1_52_d2,69.4744,0.11,0.25,28.252704816955685,False
P1_32_d1,71.38706666666666,0.11,0.25,28.086686897880536,False
P1_79_d2,55.568933333333334,0.1,0.2,28.71897206165703,False
P1_40_d1,59.00186666666666,0.1,0.19,29.060582851637765,False
P1_77_d1,69.36626666666668,0.1,0.24,28.73384874759152,False
P1_35_d1,74.018,0.1,0.25,28.425705202312137,False
P1_34_d2,74.21773333333331,0.1,0.24,28.84302157996147,False
P1_34_d1,71.65586666666667,0.1,0.24,28.467211946050096,False
P1_57_d2,66.31040000000002,0.1,0.24,28.57882601156069,False
P1_32_d2,62.784533333333314,0.1,0.23,28.65716396917148,False
P1_3_d1,68.73119999999999,0.1,0.23,28.76746647398844,False
P1_3_d2,71.69879999999999,0.1,0.24,28.61695818882466,False
P1_77_d2,74.0364,0.1,0.24,28.606003275529865,False
P1_9_d2,56.265066666666655,0.1,0.19,28.84969460500964,False
P1_76_d2,71.27906666666667,0.1,0.24,28.603497109826595,False
P1_76_d1,71.43826666666666,0.1,0.24,28.536209055876686,False
P1_59_d1,69.32226666666666,0.1,0.24,28.63940789980732,False
P1_59_d2,69.11173333333333,0.1,0.24,28.7692204238921,False
P1_62_d1,65.66480000000001,0.1,0.25,28.290523314065513,False
P1_62_d2,63.347066666666684,0.1,0.25,28.28236724470135,False
P1_53_d2,63.07186666666667,0.1,0.23,28.49506859344894,False
P1_53_d1,62.530933333333316,0.1,0.22,28.7953774566474,False
P1_52_d1,70.99759999999999,0.1,0.23,28.594838150289014,False
P1_65_d1,76.24840000000002,0.1,0.25,28.628362427745664,False
P1_65_d2,64.39893333333333,0.1,0.24,28.39964894026975,False
P1_6_d2,49.52653333333333,0.1,0.18,29.059750096339116,False
P1_47_d2,70.70773333333334,0.1,0.24,28.766887861271673,False
P1_46_d2,71.67240000000001,0.1,0.25,28.365126204238923,False
P1_71_d1,69.12173333333334,0.1,0.24,28.69126955684008,False
P1_30_d1,66.98213333333334,0.1,0.2,29.01895028901734,False
P1_75_d1,64.78906666666668,0.1,0.22,28.72427822736031,False
P1_31_d1,50.31373333333333,0.1,0.19,28.808706165703278,False
P1_57_d1,63.24373333333333,0.1,0.23,28.4666225433526,False
P1_82_d1,78.59666666666666,0.1,0.24,28.578542196531792,False
P1_16_d1,74.07,0.1,0.24,28.600215028901733,False
P1_23_d1,65.13253333333334,0.1,0.23,28.545099614643544,False
P1_8_d1,61.11666666666665,0.1,0.2,28.57717938342967,False
P1_8_d2,55.01253333333333,0.1,0.2,28.534292292870905,False
P1_1_d2,63.33466666666665,0.1,0.22,28.796358188824662,False
P1_94_d1,68.74533333333335,0.1,0.23,28.52893140655106,False
P1_16_d2,66.73733333333334,0.1,0.23,28.728989402697497,False
P1_14_d2,66.23666666666666,0.1,0.23,28.76160289017341,False
P1_88_d1,68.1316,0.1,0.23,28.581741233140654,False
P1_13_d2,75.7368,0.1,0.25,28.28391946050096,False
P1_13_d1,73.35560000000001,0.1,0.25,28.235346242774565,False
P1_97_d2,73.66373333333334,0.1,0.24,28.957864547206167,False
P1_98_d1,60.865333333333325,0.1,0.22,28.771428131021196,False
P1_11_d2,48.04279999999999,0.1,0.19,28.549435645472062,False
P1_9_d1,51.17293333333334,0.1,0.18,28.95937071290944,False
P1_24_d1,69.19266666666667,0.1,0.24,28.291360500963393,False
P1_1_d1,59.59746666666667,0.1,0.22,28.621014258188826,False
P1_87_d2,73.20506666666667,0.1,0.25,28.301162042389212,False
P1_82_d2,75.52440000000001,0.1,0.24,28.71058670520231,False
P1_85_d1,74.78373333333334,0.1,0.25,28.388858766859347,False
P1_87_d1,66.66520000000001,0.1,0.25,28.3846809248555,False
P1_28_d1,58.557599999999994,0.1,0.22,28.707056647398844,False
