overall_rank,batch,name,boltz_iptm,boltz_ptm,complex_plddt,complex_ipde,n_epitope_contacts,n_total_contacts,hotspots_engaged,on_epitope,passes_locked_gate
1,Phase1b_onepitope_reseed,onepi_pd_30_dldesign_1,0.447,0.814,0.875,9.77,8,16,272,True,False
2,Phase1b_onepitope_reseed,onepi_pd_5_dldesign_0,0.197,0.764,0.858,13.7,7,11,,True,False
3,Phase1_seed5_direct,seed5_pd_9_dldesign_0,0.301,0.767,0.867,11.0,6,17,272,True,False
4,Phase1b_onepitope_reseed,onepi_pd_28_dldesign_0,0.475,0.824,0.868,8.69,4,9,,True,False
5,Phase1b_onepitope_reseed,onepi_pd_16_dldesign_0,0.204,0.769,0.869,12.82,4,7,,True,False
6,Phase1_seed5_direct,seed5_pd_9_dldesign_1,0.127,0.736,0.866,14.23,2,11,,False,False
7,Phase1b_onepitope_reseed,onepi_pd_20_dldesign_0,0.156,0.74,0.857,11.33,1,6,272,False,False
8,Phase1b_onepitope_reseed,onepi_pd_5_dldesign_1,0.851,0.929,0.876,1.78,0,18,,False,False
9,Phase1_seed5_direct,seed5_pd_2_dldesign_0,0.818,0.92,0.87,2.54,0,18,,False,False
10,Phase1_seed5_direct,seed5_pd_0_dldesign_0,0.817,0.918,0.857,3.01,0,25,,False,False
11,Phase1_seed5_direct,seed5_pd_22_dldesign_1,0.785,0.916,0.853,4.35,0,23,,False,False
12,Phase1b_onepitope_reseed,onepi_pd_11_dldesign_0,0.764,0.905,0.881,3.5,0,17,,False,False
13,Phase1_seed5_direct,seed5_pd_19_dldesign_1,0.762,0.896,0.859,3.27,0,13,,False,False
14,Phase1_seed5_direct,seed5_pd_11_dldesign_0,0.748,0.887,0.843,4.64,0,25,,False,False
15,Phase1b_onepitope_reseed,onepi_pd_15_dldesign_0,0.686,0.881,0.862,6.51,0,20,,False,False
16,Phase1b_onepitope_reseed,onepi_pd_7_dldesign_1,0.681,0.875,0.882,4.0,0,17,,False,False
17,Phase1_seed5_direct,seed5_pd_7_dldesign_0,0.666,0.869,0.863,3.79,0,19,,False,False
18,Phase1b_onepitope_reseed,onepi_pd_12_dldesign_1,0.665,0.853,0.858,5.29,0,19,,False,False
19,Phase1_seed5_direct,seed5_pd_18_dldesign_1,0.66,0.875,0.86,4.97,0,17,,False,False
20,Phase1_seed5_direct,seed5_pd_20_dldesign_0,0.653,0.868,0.87,4.97,0,24,,False,False
21,Phase1_seed5_direct,seed5_pd_15_dldesign_1,0.628,0.85,0.862,6.08,0,21,,False,False
22,Phase1b_onepitope_reseed,onepi_pd_12_dldesign_0,0.622,0.859,0.887,5.72,0,13,,False,False
23,Phase1b_onepitope_reseed,onepi_pd_20_dldesign_1,0.602,0.856,0.872,5.07,0,14,,False,False
24,Phase1b_onepitope_reseed,onepi_pd_24_dldesign_1,0.574,0.843,0.852,7.26,0,23,,False,False
25,Phase1_seed5_direct,seed5_pd_3_dldesign_0,0.553,0.844,0.875,7.12,0,18,,False,False
26,Phase1_seed5_direct,seed5_pd_3_dldesign_1,0.536,0.847,0.895,6.47,0,9,,False,False
27,Phase1b_onepitope_reseed,onepi_pd_9_dldesign_0,0.491,0.831,0.881,6.55,0,11,,False,False
28,Phase1_seed5_direct,seed5_pd_16_dldesign_0,0.361,0.778,0.854,8.43,0,25,,False,False
29,Phase1_seed5_direct,seed5_pd_4_dldesign_1,0.353,0.793,0.868,8.39,0,18,,False,False
30,Phase1b_onepitope_reseed,onepi_pd_18_dldesign_0,0.345,0.787,0.871,8.32,0,12,,False,False
31,Phase1b_onepitope_reseed,onepi_pd_19_dldesign_0,0.335,0.776,0.879,9.03,0,16,,False,False
32,Phase1_seed5_direct,seed5_pd_20_dldesign_1,0.234,0.75,0.869,13.18,0,28,,False,False
