rank,tag,interaction_pae_angstrom,rf2_pred_lddt,pae
1,samples_design_16_dldesign_3_best,4.51,0.92,2.22
2,samples_design_17_dldesign_1_best,8.88,0.91,3.87
3,samples_design_6_dldesign_1_best,9.37,0.91,4.05
4,samples_design_1_dldesign_2_best,11.92,0.9,5.03
5,samples_design_17_dldesign_0_best,12.01,0.91,5.08
6,samples_design_15_dldesign_1_best,13.91,0.91,5.84
7,samples_design_15_dldesign_3_best,17.03,0.91,7.04
8,samples_design_21_dldesign_0_best,17.21,0.91,7.08
9,samples_design_18_dldesign_1_best,17.22,0.92,7.07
10,samples_design_19_dldesign_3_best,17.55,0.91,7.22
11,samples_design_18_dldesign_0_best,17.85,0.9,7.37
12,samples_design_21_dldesign_3_best,17.88,0.9,7.36
13,samples_design_5_dldesign_3_best,18.11,0.91,7.45
14,samples_design_20_dldesign_0_best,18.3,0.91,7.31
15,samples_design_15_dldesign_0_best,18.45,0.91,7.56
16,samples_design_4_dldesign_0_best,18.49,0.91,7.39
17,samples_design_18_dldesign_2_best,18.52,0.91,7.58
18,samples_design_17_dldesign_3_best,18.57,0.91,7.56
19,samples_design_4_dldesign_1_best,18.62,0.91,7.45
20,samples_design_21_dldesign_2_best,18.94,0.9,7.77
21,samples_design_5_dldesign_2_best,19.03,0.91,7.79
22,samples_design_5_dldesign_1_best,19.05,0.91,7.79
23,samples_design_3_dldesign_1_best,19.1,0.91,7.77
24,samples_design_3_dldesign_2_best,19.14,0.91,7.76
25,samples_design_1_dldesign_0_best,19.27,0.9,7.79
26,samples_design_19_dldesign_0_best,19.42,0.91,7.93
27,samples_design_3_dldesign_3_best,19.46,0.91,7.91
28,samples_design_6_dldesign_2_best,19.59,0.91,7.9
29,samples_design_18_dldesign_3_best,19.73,0.91,8.06
30,samples_design_16_dldesign_0_best,19.91,0.91,8.1
31,samples_design_0_dldesign_1_best,19.92,0.91,7.89
32,samples_design_3_dldesign_0_best,20.01,0.91,8.09
33,samples_design_4_dldesign_3_best,20.21,0.91,8.04
34,samples_design_6_dldesign_0_best,20.22,0.91,8.12
35,samples_design_6_dldesign_3_best,20.63,0.91,8.3
36,samples_design_20_dldesign_3_best,20.7,0.91,8.19
37,samples_design_1_dldesign_1_best,20.9,0.9,8.42
38,samples_design_19_dldesign_1_best,20.93,0.91,8.54
39,samples_design_20_dldesign_2_best,20.97,0.91,8.29
40,samples_design_4_dldesign_2_best,21.06,0.91,8.36
41,samples_design_20_dldesign_1_best,21.7,0.91,8.56
42,samples_design_16_dldesign_1_best,21.85,0.91,8.84
43,samples_design_16_dldesign_2_best,21.99,0.91,8.89
44,samples_design_0_dldesign_3_best,22.18,0.91,8.72
45,samples_design_5_dldesign_0_best,22.4,0.9,9.12
46,samples_design_0_dldesign_0_best,22.45,0.91,8.82
47,samples_design_21_dldesign_1_best,22.62,0.9,9.16
48,samples_design_19_dldesign_2_best,22.69,0.91,9.18
49,samples_design_0_dldesign_2_best,22.7,0.91,8.91
50,samples_design_2_dldesign_1_best,22.82,0.9,9.03
51,samples_design_1_dldesign_3_best,22.97,0.9,9.19
52,samples_design_17_dldesign_2_best,22.97,0.9,9.25
53,samples_design_2_dldesign_3_best,23.27,0.9,9.2
54,samples_design_2_dldesign_0_best,23.39,0.9,9.24
55,samples_design_15_dldesign_2_best,23.45,0.9,9.54
56,samples_design_2_dldesign_2_best,23.46,0.9,9.26
