arm1_seed,arm2_seed,NS1_CA_RMSD_A,min_interbinder_dist_A,clash_pairs_lt2A,centroid_sep_A,N1_N2_A,N1_C2_A,C1_N2_A,C1_C2_A
s1,s1,3.65,2.78,0,,,,,
s1,s2,3.68,5.32,0,,,,,
s1,s3,2.85,0.53,4,,,,,
s1,s4,3.6,1.82,1,,,,,
s1,s5,3.58,0.55,25,,,,,
s2,s1,1.33,14.24,0,46.7,77.0,61.0,49.1,40.5
s2,s2,1.31,15.9,0,48.3,77.9,64.7,49.8,42.6
s2,s3,1.65,8.99,0,44.3,75.6,55.2,47.1,36.6
s2,s4,1.09,12.65,0,46.0,77.4,59.5,48.7,39.2
s2,s5,3.95,4.05,0,,,,,
s3,s1,3.94,9.85,0,,,,,
s3,s2,3.97,12.29,0,,,,,
s3,s3,3.66,4.85,0,,,,,
s3,s4,3.9,9.01,0,,,,,
s3,s5,1.94,2.42,0,35.6,63.9,44.9,47.5,28.5
s4,s1,1.63,8.38,0,43.1,65.1,52.6,57.8,26.7
s4,s2,1.68,9.81,0,45.0,66.3,56.4,59.3,30.6
s4,s3,2.0,7.54,0,40.9,64.7,46.8,56.8,21.9
s4,s4,1.32,8.72,0,42.8,66.3,51.3,58.0,25.5
s4,s5,4.05,5.64,0,,,,,
s5,s1,4.24,15.33,0,,,,,
s5,s2,4.22,17.13,0,,,,,
s5,s3,3.55,12.92,0,,,,,
s5,s4,4.11,15.37,0,,,,,
s5,s5,2.17,10.96,0,49.1,42.9,16.1,75.7,51.2
