name,plddt_binder,iptm,ptm,pae_int,patch
P2_0_d1,37.81546666666667,0.08,0.15,29.61006223506744,P2 (hydrophobic)
P2_0_d2,33.26453333333333,0.08,0.14,29.648417919075143,P2 (hydrophobic)
P2_10_d1,46.4184,0.1,0.18,28.88007071290944,P2 (hydrophobic)
P2_10_d2,58.6184,0.09,0.2,29.392689788053946,P2 (hydrophobic)
P2_11_d1,66.04160000000002,0.1,0.23,28.658517148362233,P2 (hydrophobic)
P2_11_d2,65.97746666666669,0.1,0.24,28.43771078998073,P2 (hydrophobic)
P2_12_d1,56.44653333333333,0.09,0.21,28.86539691714836,P2 (hydrophobic)
P2_12_d2,41.843466666666664,0.09,0.18,28.994306358381504,P2 (hydrophobic)
P2_13_d1,66.10986666666666,0.1,0.24,28.638031213872832,P2 (hydrophobic)
P2_13_d2,67.87346666666666,0.09,0.24,28.6932225433526,P2 (hydrophobic)
P2_14_d1,69.87079999999999,0.11,0.25,28.078941233140657,P2 (hydrophobic)
P2_14_d2,68.82066666666667,0.1,0.24,28.389390173410405,P2 (hydrophobic)
P2_15_d1,61.4164,0.09,0.23,28.843320231213873,P2 (hydrophobic)
P2_15_d2,73.08946666666667,0.1,0.25,28.381225626204237,P2 (hydrophobic)
P2_16_d1,65.94586666666666,0.11,0.25,27.709609633911363,P2 (hydrophobic)
P2_16_d2,68.49146666666667,0.1,0.24,28.74422177263969,P2 (hydrophobic)
P2_17_d1,60.55279999999999,0.09,0.2,29.44302562620424,P2 (hydrophobic)
P2_17_d2,48.918666666666674,0.09,0.17,29.1427246628131,P2 (hydrophobic)
P2_18_d1,67.09973333333333,0.1,0.24,28.646245086705203,P2 (hydrophobic)
P2_18_d2,49.75,0.1,0.2,28.668807514450865,P2 (hydrophobic)
P2_19_d1,63.0788,0.09,0.23,28.75152196531792,P2 (hydrophobic)
P2_19_d2,73.45173333333332,0.1,0.25,28.493380539499036,P2 (hydrophobic)
P2_1_d1,70.00253333333333,0.09,0.23,28.85890154142582,P2 (hydrophobic)
P2_1_d2,65.20493333333332,0.1,0.23,28.381148169556845,P2 (hydrophobic)
P2_20_d1,74.55613333333334,0.1,0.24,28.62313410404624,P2 (hydrophobic)
P2_20_d2,70.4948,0.11,0.25,27.971857032755295,P2 (hydrophobic)
P2_21_d1,38.0972,0.09,0.16,29.002520038535643,P2 (hydrophobic)
P2_21_d2,38.96053333333333,0.08,0.16,29.154315799614647,P2 (hydrophobic)
