binder_aligned_rmsd,pae_binder,pae_interaction,pae_target,plddt_binder,plddt_target,plddt_total,target_aligned_rmsd,time,description,design,patch,pass_pae5,pass_pae10,pass_plddt80,pass_strict
0.555,4.192,26.479,4.412,87.025,95.519,94.006,60.646,34.229,P1_19_d1_af2pred,P1_19_d1,P1,False,False,True,False
0.571,2.949,27.633,4.398,90.722,95.589,94.722,47.55,34.472,P2_63_d2_af2pred,P2_63_d2,P2,False,False,True,False
0.502,3.329,27.688,4.394,89.493,95.611,94.521,47.34,34.435,P2_63_d1_af2pred,P2_63_d1,P2,False,False,True,False
0.834,2.974,27.737,4.335,90.512,95.765,94.829,48.106,34.278,P2_97_d2_af2pred,P2_97_d2,P2,False,False,True,False
0.903,3.568,27.752,4.432,86.194,95.586,93.913,24.352,32.994,P1_57_d2_af2pred,P1_57_d2,P1,False,False,True,False
0.477,2.28,27.757,4.355,93.373,95.722,95.303,60.553,34.368,P2_35_d2_af2pred,P2_35_d2,P2,False,False,True,False
0.553,3.301,27.776,4.341,90.723,95.783,94.881,42.979,33.827,P2_2_d1_af2pred,P2_2_d1,P2,False,False,True,False
0.379,2.01,27.795,4.359,95.735,95.695,95.702,61.025,34.799,P2_29_d2_af2pred,P2_29_d2,P2,False,False,True,False
0.678,2.35,27.837,4.317,92.689,95.828,95.269,48.466,34.75,P2_35_d1_af2pred,P2_35_d1,P2,False,False,True,False
0.425,2.924,27.845,4.401,88.804,95.632,94.415,55.446,33.392,P2_36_d1_af2pred,P2_36_d1,P2,False,False,True,False
0.382,2.109,27.929,4.396,93.458,95.622,95.236,51.71,34.604,P2_67_d2_af2pred,P2_67_d2,P2,False,False,True,False
0.779,4.016,27.968,4.361,87.09,95.585,94.072,38.135,34.257,P1_19_d2_af2pred,P1_19_d2,P1,False,False,True,False
0.414,2.297,27.98,4.421,92.001,95.586,94.948,52.787,33.301,P2_75_d2_af2pred,P2_75_d2,P2,False,False,True,False
8.198,5.455,27.986,4.363,87.956,95.591,94.231,27.362,34.683,P1_45_d2_af2pred,P1_45_d2,P1,False,False,True,False
9.137,5.696,28.009,4.399,88.508,95.537,94.285,34.04,34.702,P1_45_d1_af2pred,P1_45_d1,P1,False,False,True,False
0.467,2.815,28.013,4.382,90.744,95.655,94.78,46.84,34.417,P2_45_d2_af2pred,P2_45_d2,P2,False,False,True,False
0.541,3.163,28.024,4.381,85.026,95.579,93.699,47.565,34.111,P2_46_d1_af2pred,P2_46_d1,P2,False,False,True,False
10.752,10.757,28.044,4.417,58.172,95.448,88.807,59.349,35.861,P2_21_d1_af2pred,P2_21_d1,P2,False,False,False,False
0.576,2.514,28.06,4.364,90.981,95.571,94.753,50.791,34.758,P2_5_d1_af2pred,P2_5_d1,P2,False,False,True,False
2.847,2.966,28.061,4.414,84.333,95.541,93.545,59.331,35.722,P2_32_d2_af2pred,P2_32_d2,P2,False,False,True,False
1.281,2.804,28.067,4.374,89.353,95.702,94.571,62.265,33.091,P2_51_d1_af2pred,P2_51_d1,P2,False,False,True,False
2.882,2.43,28.068,4.43,90.08,95.48,94.518,60.838,33.535,P2_32_d1_af2pred,P2_32_d1,P2,False,False,True,False
0.568,2.417,28.074,4.377,92.845,95.581,95.093,52.643,33.545,P2_5_d2_af2pred,P2_5_d2,P2,False,False,True,False
10.566,14.117,28.075,4.325,56.926,95.613,88.721,60.597,34.624,P2_21_d2_af2pred,P2_21_d2,P2,False,False,False,False
0.495,2.404,28.093,4.313,93.584,95.813,95.416,49.99,35.395,P2_29_d1_af2pred,P2_29_d1,P2,False,False,True,False
0.815,3.363,28.099,4.352,85.467,95.645,93.832,46.715,33.331,P2_6_d1_af2pred,P2_6_d1,P2,False,False,True,False
0.993,3.366,28.11,4.294,88.44,95.821,94.506,54.028,33.737,P2_97_d1_af2pred,P2_97_d1,P2,False,False,True,False
1.439,5.464,28.112,4.343,70.349,95.75,91.225,58.687,33.153,P2_51_d2_af2pred,P2_51_d2,P2,False,False,False,False
0.544,2.973,28.118,4.395,88.256,95.62,94.308,16.579,33.348,P2_46_d2_af2pred,P2_46_d2,P2,False,False,True,False
0.383,3.181,28.125,4.342,88.131,95.736,94.381,52.53,34.166,P2_36_d2_af2pred,P2_36_d2,P2,False,False,True,False
0.399,2.618,28.184,4.362,91.212,95.675,94.88,51.968,34.533,P2_67_d1_af2pred,P2_67_d1,P2,False,False,True,False
2.732,4.183,28.194,4.355,83.702,95.626,93.502,28.336,33.714,P1_11_d2_af2pred,P1_11_d2,P1,False,False,True,False
2.723,4.528,28.227,4.39,74.657,95.676,91.931,55.761,33.246,P2_0_d2_af2pred,P2_0_d2,P2,False,False,False,False
0.629,2.594,28.237,4.456,90.305,95.553,94.618,55.488,32.378,P2_75_d1_af2pred,P2_75_d1,P2,False,False,True,False
0.492,2.73,28.24,4.357,90.771,95.721,94.839,50.222,34.242,P2_45_d1_af2pred,P2_45_d1,P2,False,False,True,False
