target,design,OLD_rf2ab_interface_pae,OLD_rf2ab_pred_lddt,rf2_pass_ipae10,NEW_boltz_iptm,NEW_boltz_interface_pae,NEW_boltz_ptm,NEW_boltz_complex_plddt,NEW_boltz_confidence,boltz_pass_iptm0.7
FLU_HA,nb_0_dldesign_0,19.57,0.91,False,0.1875,24.872,0.7184,0.8427,0.7117,False
FLU_HA,nb_0_dldesign_1,16.78,0.91,False,0.5565,15.127,0.774,0.8189,0.7664,False
FLU_HA,nb_1_dldesign_0,15.75,0.91,False,0.2344,23.692,0.7023,0.8426,0.721,False
FLU_HA,nb_1_dldesign_1,3.65,0.92,True,0.2822,23.199,0.7338,0.8675,0.7504,False
FLU_HA,nb_2_dldesign_0,17.44,0.92,False,0.1528,25.748,0.6924,0.8755,0.731,False
FLU_HA,nb_2_dldesign_1,17.19,0.92,False,0.5876,14.924,0.7947,0.8664,0.8107,False
FLU_HA,nb_3_dldesign_0,18.51,0.9,False,0.3713,19.351,0.7595,0.8648,0.7661,False
FLU_HA,nb_3_dldesign_1,19.09,0.91,False,0.7313,9.694,0.8751,0.8589,0.8333,True
NS1_betaladder,nb_0_dldesign_0,17.77,0.88,False,0.8126,14.447,0.6978,0.65,0.6825,True
NS1_betaladder,nb_0_dldesign_1,17.54,0.88,False,0.8891,6.258,0.8784,0.7827,0.804,True
NS1_betaladder,nb_1_dldesign_0,18.16,0.9,False,0.3479,19.709,0.5867,0.6666,0.6029,False
NS1_betaladder,nb_1_dldesign_1,17.76,0.9,False,0.3036,18.476,0.6133,0.7607,0.6693,False
NS1_betaladder,nb_2_dldesign_0,17.24,0.9,False,0.8386,13.009,0.7345,0.6652,0.6999,True
NS1_betaladder,nb_2_dldesign_1,17.69,0.9,False,0.9093,5.777,0.887,0.7308,0.7665,True
NS1_betaladder,nb_3_dldesign_0,17.85,0.9,False,0.5932,12.521,0.7518,0.7062,0.6836,False
NS1_betaladder,nb_3_dldesign_1,17.79,0.88,False,0.716,14.976,0.6973,0.6142,0.6345,True
NS1_connectorC,nb_0_dldesign_0,19.14,0.9,False,0.5261,15.758,0.7889,0.6446,0.6209,False
NS1_connectorC,nb_0_dldesign_1,18.92,0.9,False,0.8544,11.366,0.7347,0.6438,0.6859,True
NS1_connectorC,nb_1_dldesign_0,16.13,0.89,False,0.2217,23.495,0.6119,0.622,0.5419,False
NS1_connectorC,nb_1_dldesign_1,18.25,0.89,False,0.2134,23.947,0.4801,0.5968,0.5201,False
NS1_connectorC,nb_2_dldesign_0,18.56,0.9,False,0.7297,10.694,0.7921,0.6008,0.6266,True
NS1_connectorC,nb_2_dldesign_1,18.4,0.9,False,0.1901,24.875,0.4447,0.6232,0.5366,False
NS1_connectorC,nb_3_dldesign_0,20.69,0.9,False,0.3604,21.076,0.525,0.6079,0.5584,False
NS1_connectorC,nb_3_dldesign_1,20.17,0.9,False,0.3371,21.552,0.5575,0.6493,0.5869,False
