rank,design,patch,iface_score,hot_heavy,heavy5,binder_iface_res,ns1_iface_res,mind,mpnn_score,seq_recovery
1,P2_0_d2,P2,2.6222613880734746,289,87,9,8,2.84,0.9471,0.04
2,P2_0_d1,P2,2.4632915156655493,289,87,9,8,2.84,1.039,0.0267
3,P2_21_d1,P2,2.4578457034714276,287,90,9,9,2.86,1.0696,0.0933
4,P2_21_d2,P2,2.4203087477450733,287,90,9,9,2.86,1.0913,0.08
5,P2_5_d2,P2,1.7648953333889164,242,54,9,7,3.12,0.986,0.04
6,P2_5_d1,P2,1.7323748371835954,242,54,9,7,3.12,1.0048,0.0267
7,P2_89_d1,P2,1.7015107622662489,266,48,9,6,2.93,1.0126,0.0267
8,P2_89_d2,P2,1.6862884023403537,266,48,9,6,2.93,1.0214,0.04
9,P2_73_d1,P2,1.6434726993962825,231,67,7,5,3.1,1.0423,0.04
10,P2_97_d1,P2,1.5399411823048528,219,53,8,7,3.3,0.99,0.0533
11,P2_34_d1,P2,1.4686135131807152,256,35,8,6,3.61,0.9226,0.0133
12,P2_97_d2,P2,1.4620995690474357,219,53,8,7,3.3,1.035,0.0533
13,P2_73_d2,P2,1.434511213140816,231,67,7,5,3.1,1.1631,0.04
14,P2_34_d2,P2,1.3451048201456133,256,35,8,6,3.61,0.994,0.04
15,P2_47_d1,P2,1.3053074664624522,230,42,7,6,3.57,0.9694,0.0533
16,P2_32_d2,P2,1.2862492485268002,284,30,8,6,3.88,1.0376,0.0533
17,P2_32_d1,P2,1.254766640498245,284,30,8,6,3.88,1.0558,0.0533
18,P2_47_d2,P2,1.2400934926890161,230,42,7,6,3.57,1.0071,0.0533
19,P2_29_d1,P2,1.1885229220441031,210,30,7,7,3.78,0.8643,0.04
20,P2_51_d2,P2,1.1678109641594323,204,36,8,6,3.22,0.9905,0.0533
21,P1_11_d1,P1,1.1481506935184618,105,31,11,8,3.41,0.918,0.0667
22,P1_11_d2,P1,1.1465938612533133,105,31,11,8,3.41,0.9189,0.08
23,P2_51_d1,P2,1.109862207623355,204,36,8,6,3.22,1.024,0.0533
24,P2_45_d1,P2,1.101342394294491,247,28,7,5,3.1,0.9764,0.0267
25,P2_36_d1,P2,1.0847250208394643,224,32,7,6,3.8,0.977,0.04
26,P2_45_d2,P2,1.0698597862659356,247,28,7,5,3.1,0.9946,0.0133
27,P2_29_d2,P2,1.0494459063575179,210,30,7,7,3.78,0.9447,0.04
28,P2_75_d2,P2,1.0487570234214767,239,27,6,5,3.43,0.9144,0.0667
29,P2_36_d2,P2,1.0404417919641338,224,32,7,6,3.8,1.0026,0.04
30,P2_6_d1,P2,1.035000504463249,212,29,8,7,3.33,1.0107,0.0533
31,P2_2_d1,P2,1.0079626770768821,241,34,7,4,3.17,1.0808,0.0267
32,P2_63_d1,P2,1.0041588300890238,254,26,8,4,3.43,1.0908,0.0267
33,P2_2_d2,P2,0.9892806898951021,241,34,7,4,3.17,1.0916,0.0133
34,P1_19_d1,P1,0.9882569118192506,131,50,8,7,3.27,1.0796,0.0267
35,P2_63_d2,P2,0.9873796378979804,254,26,8,4,3.43,1.1005,0.04
36,P2_67_d2,P2,0.9633195151969896,221,31,6,5,3.14,0.966,0.04
37,P1_45_d2,P1,0.9334633426401626,127,43,10,7,3.38,1.1554,0.0267
38,P1_57_d2,P1,0.9321077999742877,109,61,6,6,3.2,1.0522,0.04
39,P2_35_d1,P2,0.9196918669033152,203,30,6,6,3.58,0.9402,0.0267
40,P1_19_d2,P1,0.916988590348015,131,50,8,7,3.27,1.1208,0.0267
41,P2_6_d2,P2,0.9088970909862334,212,29,8,7,3.33,1.0836,0.0533
42,P2_75_d1,P2,0.9088151009209202,239,27,6,5,3.43,0.9953,0.0667
43,P2_46_d2,P2,0.8938506134296452,262,35,5,4,3.06,1.0769,0.0133
44,P1_45_d1,P1,0.8877962628624779,127,43,10,7,3.38,1.1818,0.0267
45,P2_67_d1,P2,0.8731962251811799,221,31,6,5,3.14,1.0181,0.04
46,P2_42_d1,P2,0.8729907963307412,225,31,7,6,3.79,1.091,0.0533
47,P2_46_d1,P2,0.8694602412756546,262,35,5,4,3.06,1.091,0.0267
48,P2_87_d1,P2,0.8608882423087554,195,22,8,4,4.17,0.9987,0.08
49,P2_35_d2,P2,0.8593213712881184,203,30,6,6,3.58,0.9751,0.0267
50,P1_57_d1,P1,0.8499416526470143,109,61,6,6,3.2,1.0997,0.0667
51,P2_42_d2,P2,0.8316482506229128,225,31,7,6,3.79,1.1149,0.0533
52,P2_87_d2,P2,0.8278488020150516,195,22,8,4,4.17,1.0178,0.08
53,P2_83_d2,P2,0.8277457027391038,234,17,7,5,4.15,0.9883,0.0267
54,P2_8_d1,P2,0.8127209436397602,159,31,7,7,3.56,0.9778,0.08
55,P2_95_d2,P2,0.7919684020789464,238,16,6,5,3.59,0.9435,0.0
56,P2_95_d1,P2,0.769826787641281,238,16,6,5,3.59,0.9563,0.0
57,P2_83_d1,P2,0.7533637167375715,234,17,7,5,4.15,1.0313,0.04
58,P2_82_d1,P2,0.7432563909154215,205,28,7,6,4.13,1.0892,0.04
59,P2_82_d2,P2,0.7302827887058518,205,28,7,6,4.13,1.0967,0.04
60,P1_87_d2,P1,0.7258043445330982,122,34,8,6,3.77,1.0408,0.0267
61,P2_8_d2,P2,0.7155054177493858,159,31,7,7,3.56,1.034,0.0667
62,P2_50_d2,P2,0.7145664159945199,243,21,7,6,3.68,1.1165,0.04
63,P2_64_d1,P2,0.7120781474961965,237,24,5,5,3.69,1.0088,0.0533
64,P2_50_d1,P2,0.7119716955526059,243,21,7,6,3.68,1.118,0.04
65,P2_38_d1,P2,0.6776462244331853,234,18,5,6,3.52,0.9581,0.04
66,P2_91_d2,P2,0.6765140596930398,207,16,5,6,4.37,0.8769,0.0533
67,P2_76_d2,P2,0.670889315608126,166,25,5,5,3.39,0.884,0.0267
68,P2_22_d2,P2,0.6613952355088389,205,17,5,5,4.0,0.8918,0.04
69,P2_79_d2,P2,0.6590144412820429,185,23,6,4,3.2,0.976,0.0533
70,P2_55_d1,P2,0.6570036862170407,210,18,5,4,3.41,0.9162,0.0267
71,P2_64_d2,P2,0.6435775278296691,237,24,5,5,3.69,1.0484,0.0667
72,P2_68_d2,P2,0.6421510713772907,176,28,7,5,3.6,1.0826,0.0267
73,P2_38_d2,P2,0.6413201382463906,234,18,5,6,3.52,0.9791,0.0267
74,P1_87_d1,P1,0.6398326072243508,122,34,8,6,3.77,1.0905,0.0133
75,P2_79_d1,P2,0.6313374232349611,185,23,6,4,3.2,0.992,0.0533
76,P2_98_d1,P2,0.6167184278619203,165,25,8,5,3.05,1.1045,0.04
77,P2_66_d1,P2,0.6118718248926308,204,26,5,5,3.39,1.014,0.0267
78,P2_76_d1,P2,0.6113837268069005,166,25,5,5,3.39,0.9184,0.04
79,P1_82_d1,P1,0.6068330812659988,124,35,7,7,3.41,1.0609,0.0267
80,P2_91_d1,P2,0.6012671668775366,207,16,5,6,4.37,0.9204,0.0533
81,P2_60_d1,P2,0.5854449786044832,184,30,5,6,3.93,1.027,0.04
82,P2_31_d1,P2,0.5842088774851888,237,19,6,5,3.99,1.0933,0.0533
83,P2_93_d1,P2,0.5839017545606546,160,22,6,4,2.39,0.9527,0.08
84,P2_23_d2,P2,0.5797112097867241,184,19,4,5,2.56,0.8494,0.0933
85,P2_60_d2,P2,0.5764499477391816,184,30,5,6,3.93,1.0322,0.0533
86,P2_23_d1,P2,0.5703702161958342,184,19,4,5,2.56,0.8548,0.0933
87,P2_72_d2,P2,0.5593321843806913,218,20,5,5,3.62,1.0119,0.04
88,P1_99_d2,P1,0.5499522711431305,79,36,8,7,3.91,1.0673,0.0267
89,P1_99_d1,P1,0.5475305320640107,79,36,8,7,3.91,1.0687,0.0267
90,P2_3_d1,P2,0.5458297901728654,157,25,4,5,3.64,0.8723,0.0667
91,P2_26_d1,P2,0.5409176048227432,210,18,4,3,2.94,0.9195,0.0
92,P2_37_d1,P2,0.5365003874854646,231,12,6,4,4.41,1.0329,0.04
93,P1_75_d1,P1,0.5334382154489231,77,25,13,8,3.38,1.2743,0.0267
94,P1_13_d2,P1,0.5327657495690832,105,35,7,5,3.62,1.0611,0.0133
95,P2_22_d1,P2,0.5297564184224068,205,17,5,5,4.0,0.9679,0.0267
96,P1_28_d2,P1,0.5249990678939636,83,23,8,7,4.16,0.9523,0.0267
97,P1_82_d2,P1,0.5004495431475285,124,35,7,7,3.41,1.1224,0.0133
98,P2_93_d2,P2,0.49931386815426115,160,22,6,4,2.39,1.0016,0.1067
99,P2_72_d1,P2,0.49792380058872876,218,20,5,5,3.62,1.0474,0.0133
100,P2_96_d2,P2,0.49537656169054,239,12,4,3,3.97,0.947,0.0133
101,P2_3_d2,P2,0.4953192322369413,157,25,4,5,3.64,0.9015,0.0667
102,P2_9_d1,P2,0.4890193245551626,208,22,4,5,3.85,0.9876,0.0667
103,P2_39_d2,P2,0.48460468731470036,201,12,5,3,3.78,0.9318,0.04
104,P2_58_d2,P2,0.4830595294316412,233,15,4,3,4.07,0.9726,0.0133
105,P2_94_d1,P2,0.4825197422678039,148,20,6,4,3.43,0.9631,0.0133
106,P2_37_d2,P2,0.48010846321453576,231,12,6,4,4.41,1.0655,0.0533
107,P1_47_d2,P1,0.4777840637289815,84,20,8,5,3.99,0.9499,0.04
108,P2_66_d2,P2,0.472448846480457,204,26,5,5,3.39,1.0946,0.0267
109,P2_58_d1,P2,0.4714697781244258,233,15,4,3,4.07,0.9793,0.0133
110,P1_13_d1,P1,0.4670328317072642,105,35,7,5,3.62,1.0991,0.0133
111,P1_28_d1,P1,0.46687732999509207,83,23,8,7,4.16,0.9859,0.04
112,P1_47_d1,P1,0.4649834428822061,84,20,8,5,3.99,0.9573,0.04
113,P2_26_d2,P2,0.45373499797443606,210,18,4,3,2.94,0.9699,0.0
114,P2_68_d1,P2,0.44841194504771886,176,28,7,5,3.6,1.1946,0.0267
115,P2_19_d1,P2,0.44489722701030543,191,18,5,4,3.73,0.9962,0.04
116,P1_71_d2,P1,0.43604970937844034,103,39,6,5,3.38,1.0913,0.0533
117,P2_96_d1,P2,0.43604395425210873,239,12,4,3,3.97,0.9813,0.0133
118,P2_31_d2,P2,0.42990950187270827,237,19,6,5,3.99,1.1825,0.04
119,P2_9_d2,P2,0.4149833012792193,208,22,4,5,3.85,1.0304,0.0667
120,P2_27_d1,P2,0.4034372012343833,193,19,5,6,3.78,1.0353,0.0133
121,P1_71_d1,P1,0.3921124432286981,103,39,6,5,3.38,1.1167,0.0533
122,P2_55_d2,P2,0.39095835023946823,210,18,5,4,3.41,1.07,0.0267
123,P2_99_d2,P2,0.3897925729924323,190,11,6,5,4.25,1.0151,0.04
124,P2_62_d2,P2,0.38830760155215904,253,14,5,4,4.11,1.1254,0.04
125,P2_52_d2,P2,0.3877888071614342,218,10,4,3,4.38,0.9408,0.0533
126,P2_52_d1,P2,0.38450216126834325,218,10,4,3,4.38,0.9427,0.0533
127,P2_41_d2,P2,0.3820625212682389,149,22,5,5,3.0,0.9809,0.08
128,P1_46_d2,P1,0.3790492496038341,105,36,6,4,3.64,1.0968,0.0267
129,P2_98_d2,P2,0.3698740231545108,165,25,8,5,3.05,1.2472,0.04
130,P2_27_d2,P2,0.3615757114381723,193,19,5,6,3.78,1.0595,0.0133
131,P2_56_d2,P2,0.3612999722241761,107,33,5,4,3.13,1.0158,0.04
132,P2_17_d2,P2,0.3550778059253711,139,29,6,5,3.02,1.1124,0.0533
133,P2_94_d2,P2,0.33444769571591704,148,20,6,4,3.43,1.0487,0.04
134,P2_56_d1,P2,0.3280875505676783,107,33,5,4,3.13,1.035,0.04
135,P2_19_d2,P2,0.31446927946343295,191,18,5,4,3.73,1.0716,0.04
136,P2_99_d1,P2,0.30952922065589517,190,11,6,5,4.25,1.0615,0.0133
137,P1_75_d2,P1,0.3085624438163845,77,25,13,8,3.38,1.4043,0.04
138,P1_2_d1,P1,0.3071142852848309,113,31,6,5,3.32,1.1031,0.0267
139,P1_80_d1,P1,0.3050406032253783,96,25,7,6,3.57,1.0661,0.04
140,P1_46_d1,P1,0.3015535990720055,105,36,6,4,3.64,1.1416,0.0267
141,P1_23_d2,P1,0.29781646534261724,95,31,6,5,3.66,1.0681,0.0267
142,P1_80_d2,P1,0.28808842967154075,96,25,7,6,3.57,1.0759,0.0267
143,P2_80_d1,P2,0.2724972988331323,196,23,4,5,3.45,1.0965,0.04
144,P2_17_d1,P2,0.2564784291326428,139,29,6,5,3.02,1.1694,0.0533
145,P2_53_d1,P2,0.2562990035512913,172,16,3,4,3.55,0.9137,0.0133
146,P2_43_d2,P2,0.249963228613695,208,9,4,4,4.55,0.9874,0.0133
147,P2_80_d2,P2,0.2446472994232564,196,23,4,5,3.45,1.1126,0.0533
148,P2_7_d1,P2,0.2426181908946673,190,12,3,4,4.09,0.9194,0.0667
149,P2_81_d1,P2,0.23482559930477775,192,12,4,5,3.82,0.9922,0.0267
150,P2_61_d2,P2,0.20795942780711074,185,7,4,3,4.61,0.9388,0.0933
151,P1_2_d2,P1,0.2002118030779779,113,31,6,5,3.32,1.1649,0.0267
152,P1_7_d1,P1,0.19610571991647618,83,31,8,6,3.77,1.2276,0.0533
