design,backbone,binder_len,iptm,ptm,binder_pLDDT,interface_pAE,mpnn_score,pass_pLDDT,pass_ipTM,pass_pAE,PASS_ALL
pilot_1_s2,1,100,0.13,0.2,42.2,28.58,1.0095,False,False,False,False
pilot_2_s1,2,85,0.12,0.27,79.8,27.93,0.9027,False,False,False,False
pilot_1_s1,1,100,0.12,0.3,78.7,27.95,1.0239,False,False,False,False
pilot_3_s1,3,75,0.12,0.26,70.5,27.45,1.0197,False,False,False,False
pilot_6_s1,6,73,0.12,0.24,49.2,27.54,1.2577,False,False,False,False
pilot_2_s2,2,85,0.11,0.27,78.5,27.98,1.0153,False,False,False,False
pilot_5_s2,5,65,0.11,0.21,56.7,28.35,1.0397,False,False,False,False
pilot_5_s1,5,65,0.11,0.21,55.8,28.02,0.9818,False,False,False,False
pilot_3_s2,3,75,0.11,0.19,49.1,28.53,1.0025,False,False,False,False
pilot_4_s2,4,91,0.1,0.22,67.3,29.32,1.2336,False,False,False,False
pilot_0_s2,0,68,0.1,0.2,66.3,29.06,1.1794,False,False,False,False
pilot_4_s1,4,91,0.1,0.2,62.3,29.5,1.2213,False,False,False,False
pilot_7_s1,7,68,0.1,0.2,47.8,28.25,0.9132,False,False,False,False
pilot_7_s2,7,68,0.1,0.18,47.4,28.69,1.0176,False,False,False,False
pilot_0_s1,0,68,0.09,0.19,66.3,29.59,1.232,False,False,False,False
pilot_6_s2,6,73,0.08,0.19,41.6,29.52,1.1486,False,False,False,False
