rank,design,patch,iface_score,hot_heavy,heavy5,binder_iface_res,ns1_iface_res,mind,mpnn_score,seq_recovery
1,P2_0_d2,P2,2.622261388073474,289,87,9,8,2.84,0.9471,0.04
2,P2_0_d1,P2,2.4632915156655493,289,87,9,8,2.84,1.039,0.0267
3,P2_21_d1,P2,2.4578457034714276,287,90,9,9,2.86,1.0696,0.0933
4,P2_21_d2,P2,2.4203087477450733,287,90,9,9,2.86,1.0913,0.08
5,P2_5_d2,P2,1.7648953333889164,242,54,9,7,3.12,0.986,0.04
6,P2_5_d1,P2,1.7323748371835954,242,54,9,7,3.12,1.0048,0.0267
7,P2_89_d1,P2,1.7015107622662489,266,48,9,6,2.93,1.0126,0.0267
8,P2_89_d2,P2,1.6862884023403537,266,48,9,6,2.93,1.0214,0.04
9,P2_73_d1,P2,1.6434726993962825,231,67,7,5,3.1,1.0423,0.04
10,P2_97_d1,P2,1.5399411823048528,219,53,8,7,3.3,0.99,0.0533
