rank,name,rf2_plddt,n_hotspot_contacts_CORRECTED,hotspots_engaged,n_total_beta_ladder_contacts_CORRECTED,severe_clash_pairs_lt_1A,overall_min_heavy_atom_dist_A,hotspot_distances_A
1,seed5_pd_15_dldesign_1,0.872,3,272;274;296,13,12,0.234,"{""269"": 0.23, ""272"": 1.59, ""274"": 2.56, ""294"": 8.28, ""296"": 4.08}"
2,seed5_pd_19_dldesign_0,0.872,3,269;272;296,13,5,0.729,"{""269"": 2.42, ""272"": 4.3, ""274"": 6.5, ""294"": 7.25, ""296"": 3.03}"
3,seed5_pd_12_dldesign_1,0.884,3,269;294;296,12,1,0.97,"{""269"": 2.52, ""272"": 8.28, ""274"": 11.06, ""294"": 3.6, ""296"": 4.07}"
4,seed5_pd_4_dldesign_1,0.881,3,269;272;294,11,6,0.532,"{""269"": 3.67, ""272"": 3.5, ""274"": 5.7, ""294"": 4.31, ""296"": 1.34}"
5,seed5_pd_20_dldesign_1,0.887,3,272;294;296,10,17,0.328,"{""269"": 0.7, ""272"": 2.52, ""274"": 6.76, ""294"": 2.75, ""296"": 1.93}"
6,seed5_pd_18_dldesign_1,0.868,3,269;274;296,10,36,0.429,"{""269"": 4.23, ""272"": 7.58, ""274"": 1.9, ""294"": 6.14, ""296"": 1.88}"
7,seed5_pd_10_dldesign_0,0.894,2,294;296,18,20,0.23,"{""269"": 11.07, ""272"": 12.89, ""274"": 6.73, ""294"": 4.34, ""296"": 4.25}"
8,seed5_pd_11_dldesign_0,0.879,2,272;296,18,38,0.328,"{""269"": 0.76, ""272"": 1.88, ""274"": 4.6, ""294"": 5.65, ""296"": 2.52}"
9,seed5_pd_23_dldesign_1,0.89,2,269;296,15,0,1.997,"{""269"": 2.0, ""272"": 6.36, ""274"": 9.98, ""294"": 5.0, ""296"": 3.6}"
10,seed5_pd_19_dldesign_1,0.88,2,272;294,14,12,0.502,"{""269"": 0.58, ""272"": 3.94, ""274"": 5.41, ""294"": 2.85, ""296"": 0.69}"
11,seed5_pd_2_dldesign_0,0.88,2,269;296,14,10,0.378,"{""269"": 2.3, ""272"": 5.44, ""274"": 7.46, ""294"": 8.22, ""296"": 3.51}"
12,seed5_pd_5_dldesign_0,0.869,2,269;296,14,0,1.727,"{""269"": 1.73, ""272"": 5.88, ""274"": 9.69, ""294"": 5.29, ""296"": 3.15}"
13,seed5_pd_1_dldesign_0,0.909,2,294;296,13,3,0.616,"{""269"": 1.29, ""272"": 6.25, ""274"": 11.1, ""294"": 3.74, ""296"": 1.98}"
14,seed5_pd_2_dldesign_1,0.889,2,269;296,13,4,0.378,"{""269"": 2.05, ""272"": 5.5, ""274"": 8.44, ""294"": 6.77, ""296"": 2.8}"
15,seed5_pd_3_dldesign_0,0.889,2,269;294,13,7,0.432,"{""269"": 2.51, ""272"": 7.84, ""274"": 8.54, ""294"": 1.56, ""296"": 0.6}"
16,seed5_pd_16_dldesign_0,0.874,2,294;296,13,12,0.147,"{""269"": 0.68, ""272"": 5.09, ""274"": 5.18, ""294"": 4.33, ""296"": 1.55}"
