design_id,seq_length,plddt,pae,n_hotspot_contacts
rfd_design_042,118,0.897,3.27,6
rfd_design_025,118,0.884,5.67,3
rfd_design_017,118,0.883,5.9,1
rfd_design_036,118,0.883,4.32,3
rfd_design_029,118,0.883,3.24,5
rfd_design_018,118,0.872,2.8,2
rfd_design_033,118,0.869,2.43,2
rfd_design_001,118,0.868,3.92,2
rfd_design_022,118,0.868,1.6,6
rfd_design_009,118,0.862,5.96,5
rfd_design_027,118,0.857,4.62,1
rfd_design_024,118,0.847,2.22,4
rfd_design_046,118,0.845,5.31,4
rfd_design_031,118,0.841,3.83,3
rfd_design_037,118,0.827,2.29,1
rfd_design_039,118,0.821,3.52,5
rfd_design_040,118,0.819,4.84,5
rfd_design_028,118,0.802,2.81,5
rfd_design_030,118,0.794,4.55,4
rfd_design_016,118,0.781,3.29,5
rfd_design_005,118,0.779,5.28,5
rfd_design_008,118,0.77,5.11,2
rfd_design_044,118,0.758,2.55,6
rfd_design_041,118,0.756,5.52,3
rfd_design_019,118,0.729,5.05,4
rfd_design_015,118,0.726,4.18,1
rfd_design_012,118,0.724,1.53,5
rfd_design_010,118,0.716,2.5,3
rfd_design_007,118,0.713,5.45,5
rfd_design_038,118,0.708,5.29,1
rfd_design_023,118,0.704,5.18,4
rfd_design_035,118,0.697,3.03,2
rfd_design_006,118,0.689,5.07,4
rfd_design_013,118,0.681,5.59,5
rfd_design_014,118,0.68,3.78,4
rfd_design_004,118,0.662,5.42,5
rfd_design_021,118,0.652,3.72,5
rfd_design_011,118,0.646,2.4,2
rfd_design_020,118,0.641,5.55,2
rfd_design_043,118,0.63,3.31,3
rfd_design_032,118,0.628,4.21,2
rfd_design_003,118,0.624,3.53,5
rfd_design_045,118,0.623,4.49,2
rfd_design_000,118,0.619,4.26,4
rfd_design_047,118,0.616,5.56,2
rfd_design_002,118,0.611,2.77,6
rfd_design_034,118,0.605,3.99,5
rfd_design_026,118,0.602,2.9,2
