variant,arm,CDR_net_charge,epitope_contacts,hotspots,overlap_2B7,on_epitope
v_q1_s1,v_q1,1,0,,0,False
v_q1_s2,v_q1,1,8,269,12,True
v_q1_s3,v_q1,1,8,269,14,True
v_q1_s4,v_q1,1,0,,0,False
v_q1_s5,v_q1,1,7,,13,True
v_q2_s1,v_q2,2,0,,0,False
v_q2_s2,v_q2,2,8,269;274,11,True
v_q2_s3,v_q2,2,0,,0,False
v_q2_s4,v_q2,2,0,,0,False
v_q2_s5,v_q2,2,7,,11,True
v_q3_s1,v_q3,3,0,,0,False
v_q3_s2,v_q3,3,7,269;296,10,True
v_q3_s3,v_q3,3,0,,0,False
v_q3_s4,v_q3,3,4,269,9,True
v_q3_s5,v_q3,3,8,269,15,True
v_q5_s1,v_q5,5,3,272;274,5,False
v_q5_s2,v_q5,5,3,269,7,False
v_q5_s3,v_q5,5,0,,0,False
v_q5_s4,v_q5,5,4,269,8,True
v_q5_s5,v_q5,5,3,,6,False
