rank,name,boltz_iptm,boltz_ptm,complex_plddt,complex_ipde,n_epitope_contacts,n_total_contacts,hotspots_engaged,on_epitope,passes_locked_gate
1,onepi_pd_30_dldesign_1,0.447,0.814,0.875,9.77,8,16,272,True,False
2,onepi_pd_5_dldesign_0,0.197,0.764,0.858,13.7,7,11,,True,False
3,onepi_pd_28_dldesign_0,0.475,0.824,0.868,8.69,4,9,,True,False
4,onepi_pd_16_dldesign_0,0.204,0.769,0.869,12.82,4,7,,True,False
5,onepi_pd_20_dldesign_0,0.156,0.74,0.857,11.33,1,6,272,False,False
6,onepi_pd_5_dldesign_1,0.851,0.929,0.876,1.78,0,18,,False,False
7,onepi_pd_11_dldesign_0,0.764,0.905,0.881,3.5,0,17,,False,False
8,onepi_pd_15_dldesign_0,0.686,0.881,0.862,6.51,0,20,,False,False
9,onepi_pd_7_dldesign_1,0.681,0.875,0.882,4.0,0,17,,False,False
10,onepi_pd_12_dldesign_1,0.665,0.853,0.858,5.29,0,19,,False,False
11,onepi_pd_12_dldesign_0,0.622,0.859,0.887,5.72,0,13,,False,False
12,onepi_pd_20_dldesign_1,0.602,0.856,0.872,5.07,0,14,,False,False
13,onepi_pd_24_dldesign_1,0.574,0.843,0.852,7.26,0,23,,False,False
14,onepi_pd_9_dldesign_0,0.491,0.831,0.881,6.55,0,11,,False,False
15,onepi_pd_18_dldesign_0,0.345,0.787,0.871,8.32,0,12,,False,False
16,onepi_pd_19_dldesign_0,0.335,0.776,0.879,9.03,0,16,,False,False
