rank,name,boltz_iptm,boltz_ptm,complex_plddt,complex_ipde,n_epitope_contacts,n_total_contacts,hotspots_engaged,on_epitope,passes_locked_gate
1,seed5_pd_9_dldesign_0,0.301,0.767,0.867,11.0,6,17,272,True,False
2,seed5_pd_9_dldesign_1,0.127,0.736,0.866,14.23,2,11,,False,False
3,seed5_pd_2_dldesign_0,0.818,0.92,0.87,2.54,0,18,,False,False
4,seed5_pd_0_dldesign_0,0.817,0.918,0.857,3.01,0,25,,False,False
5,seed5_pd_22_dldesign_1,0.785,0.916,0.853,4.35,0,23,,False,False
6,seed5_pd_19_dldesign_1,0.762,0.896,0.859,3.27,0,13,,False,False
7,seed5_pd_11_dldesign_0,0.748,0.887,0.843,4.64,0,25,,False,False
8,seed5_pd_7_dldesign_0,0.666,0.869,0.863,3.79,0,19,,False,False
9,seed5_pd_18_dldesign_1,0.66,0.875,0.86,4.97,0,17,,False,False
10,seed5_pd_20_dldesign_0,0.653,0.868,0.87,4.97,0,24,,False,False
11,seed5_pd_15_dldesign_1,0.628,0.85,0.862,6.08,0,21,,False,False
12,seed5_pd_3_dldesign_0,0.553,0.844,0.875,7.12,0,18,,False,False
13,seed5_pd_3_dldesign_1,0.536,0.847,0.895,6.47,0,9,,False,False
14,seed5_pd_16_dldesign_0,0.361,0.778,0.854,8.43,0,25,,False,False
15,seed5_pd_4_dldesign_1,0.353,0.793,0.868,8.39,0,18,,False,False
16,seed5_pd_20_dldesign_1,0.234,0.75,0.869,13.18,0,28,,False,False
