design,seed,epitope_burial_A2_261_305,tip_burial_A2_311_352,total_target_side_burial_A2,epitope_fraction_of_total,passes_epitope_ge300,passes_tip_le40,passes_both,burial_convention
onepi_pd_15_dldesign_0,4,413,341,1140,0.36,True,False,False,"target-side, BL-filtered"
onepi_pd_30_dldesign_1,5,228,201,857,0.27,False,False,False,"target-side, BL-filtered"
onepi_pd_20_dldesign_1,4,321,292,818,0.39,True,False,False,"target-side, BL-filtered"
onepi_pd_5_dldesign_1,1,226,229,791,0.29,False,False,False,"target-side, BL-filtered"
onepi_pd_16_dldesign_0,2,312,231,706,0.44,True,False,False,"target-side, BL-filtered"
onepi_pd_7_dldesign_1,4,316,134,675,0.47,True,False,False,"target-side, BL-filtered"
onepi_pd_5_dldesign_1,3,194,142,662,0.29,False,False,False,"target-side, BL-filtered"
onepi_pd_5_dldesign_1,2,309,159,631,0.49,True,False,False,"target-side, BL-filtered"
onepi_pd_16_dldesign_0,5,316,162,596,0.53,True,False,False,"target-side, BL-filtered"
onepi_pd_5_dldesign_1,4,246,176,515,0.48,False,False,False,"target-side, BL-filtered"
onepi_pd_16_dldesign_0,1,235,155,513,0.46,False,False,False,"target-side, BL-filtered"
onepi_pd_5_dldesign_1,5,238,119,449,0.53,False,False,False,"target-side, BL-filtered"
onepi_pd_5_dldesign_0,4,226,149,405,0.56,False,False,False,"target-side, BL-filtered"
onepi_pd_16_dldesign_0,3,119,91,338,0.35,False,False,False,"target-side, BL-filtered"
onepi_pd_5_dldesign_0,5,190,151,355,0.54,False,False,False,"target-side, BL-filtered"
"2B7 (crystal 6WER, protective Ab)",-,320,250,597,0.54,True,False,False,"target-side, BL-filtered"
"nb_3 (seed 5, CROPPED target 255-310)",5,356,n/a - tip absent from construct,375,0.95,True,untestable,untestable,"target-side, BL-filtered; total is whole 255-310 fragment, not comparable to full-length rows"
