design,binder_len,iptm_msa,ptm_msa,binder_pLDDT_msa,interface_pAE_msa,iptm_ss,binder_pLDDT_ss,interface_pAE_ss,d_iptm,d_pLDDT,d_pAE,pass_msa
pilot_4_s2,91,0.34,0.75,59.7,21.19,0.1,67.3,29.32,0.24,-7.6,-8.13,False
pilot_6_s2,73,0.24,0.73,37.5,23.31,0.08,41.6,29.52,0.16,-4.1,-6.21,False
pilot_5_s2,65,0.23,0.76,51.7,22.13,0.11,56.7,28.35,0.12,-5.0,-6.22,False
pilot_3_s2,75,0.22,0.72,66.1,23.24,0.11,49.1,28.53,0.11,17.0,-5.29,False
pilot_3_s1,75,0.21,0.73,65.2,24.31,0.12,70.5,27.45,0.09,-5.3,-3.14,False
pilot_7_s2,68,0.21,0.74,41.0,24.03,0.1,47.4,28.69,0.11,-6.4,-4.66,False
pilot_1_s2,100,0.2,0.71,43.3,24.94,0.13,42.2,28.58,0.07,1.1,-3.64,False
pilot_5_s1,65,0.2,0.75,50.4,22.98,0.11,55.8,28.02,0.09,-5.4,-5.04,False
pilot_4_s1,91,0.19,0.72,39.5,25.0,0.1,62.3,29.5,0.09,-22.8,-4.5,False
pilot_7_s1,68,0.18,0.74,42.8,24.49,0.1,47.8,28.25,0.08,-5.0,-3.76,False
pilot_6_s1,73,0.17,0.74,49.1,24.72,0.12,49.2,27.54,0.05,-0.1,-2.82,False
pilot_2_s1,85,0.16,0.71,76.0,25.32,0.12,79.8,27.93,0.04,-3.8,-2.61,False
pilot_2_s2,85,0.16,0.73,71.7,25.15,0.11,78.5,27.98,0.05,-6.8,-2.83,False
pilot_0_s1,68,0.15,0.74,48.1,26.24,0.09,66.3,29.59,0.06,-18.2,-3.35,False
pilot_0_s2,68,0.14,0.74,49.9,26.84,0.1,66.3,29.06,0.04,-16.4,-2.22,False
pilot_1_s1,100,0.13,0.7,72.9,26.41,0.12,78.7,27.95,0.01,-5.8,-1.54,False
