design,campaign,seeds,on_epitope_rate,mean_epitope_contacts,hotspot_seed_frequency,hotspots_in_3plus_seeds,consensus_size,consensus_contacts,conserved_of_contacted_epitope,max_2B7_overlap_of_20,note
onepi_pd_5_dldesign_1,onepi,5,5/5,6.2,269:3/5;272:1/5,269,3,299;303;327,9/12,12,
onepi_pd_16_dldesign_0,onepi,5,4/5,4.8,269:3/5;272:1/5,269,0,,7/9,10,
onepi_pd_5_dldesign_0,onepi,5,2/5,2.6,272:1/5,none,0,,4/7,9,
onepi_pd_15_dldesign_0,onepi,5,1/5,2.2,269:1/5;272:1/5;296:1/5,none,0,,9/11,14,
onepi_pd_20_dldesign_1,onepi,5,1/5,1.6,272:1/5,none,0,,5/8,11,
onepi_pd_7_dldesign_1,onepi,5,1/5,1.4,269:1/5,none,0,,5/7,11,
seed5_pd_11_dldesign_0,seed5,5,1/5,1.4,none,none,0,,4/7,10,
seed5_pd_18_dldesign_1,seed5,5,1/5,1.4,none,none,0,,4/7,12,
onepi_pd_30_dldesign_1,onepi,5,1/5,1.2,274:1/5,none,0,,4/6,8,
seed5_pd_15_dldesign_1,seed5,5,0/5,0.0,none,none,19,35;37;38;39;74;113;115;116;118;119;122;123;157;160;161;162;163;166;168,n/a,0,"binds the planned SECOND epitope reproducibly (7/8 of EP2, 5/5 seeds), not the beta-ladder"
"nb_3 (reference, prior work)",-,5,3/5,7.0,269:2/5;296:1/5,none,7,281;303;304;305;326;327;328,4/7,13,prior baseline; consensus over its 3 on-epitope seeds
