#,superseded claim,where it appears,status,current position,evidence,authoritative artifact
1,Acceptance gate: ipTM>0.7 AND interface pAE<5.0 AND pLDDT>80,"switch_construction_plan.md L129, L176; project acceptance thresholds",INVALID ON THIS TARGET,"Gate is anti-correlated with epitope correctness. Report ipTM/pAE relative to the 2B7 reference (0.46 / 6.43 A), never as absolute cutoffs. Primary criterion is epitope fidelity.","rho=-0.888, p=9.7e-6, n=15. All 4 gate-passing predictions had ZERO epitope contact; all 11 failing averaged 6.3",gate_calibration_finding.md
2,'>=3 of 5 hotspots' engaged,"switch_construction_plan.md L129 (binder-2), L176",GEOMETRICALLY UNSATISFIABLE,"Restate as '>=2 of cluster A {269,272,274}'. Only one of ten 3-subsets fits a ~15 A paratope footprint; minimum 4-subset span is 17.8 A.","Hotspots form two clusters: A {269,272,274} span 12.9 A, B {294,296} span 7.2 A, separated 11.8-23.6 A",hotspot_geometry.csv / nb3_structural_diagnosis.txt
3,Buried surface area floor >=600 A2 per side,proposed in diagnosis v1 (already retracted in v2+),RETRACTED,"Epitope-only burial >=300 A2 AND forbidden-tip burial <=40 A2, reported separately and never summed.",Beta-ladder-only accessible pool is 387 A2 -> ceiling 194-232 A2 for a focused paratope. A 600 A2 floor would have selected for designs burying the forbidden tip,nb3_structural_diagnosis.txt (section 6) / burial_decomposition.csv
4,C-terminus is the paratope-proximal terminus (11.1 A; 10.6 A to CDR-H3 apex),"switch_construction_plan.md L48, L50, L52, L54",CORRECTED,N-terminus is proximal (14.5 A vs C-term 33.9 A). Fuse HiBiT at the N-terminus with a 5-8 residue linker.,"Plan measured a model resolving only Ca 1-107 (truncated FR4). Full 118-residue model gives N-term 14.5 A, C-term 33.9 A, N-to-C 36.9 A",switch_geometry_addendum.md / switch_geometry.csv
5,Tip region 311-352 must be avoided absolutely,switch_construction_plan.md L5; project epitope constraints,SOFTENED (needs mentor sign-off),"The protective antibody 2B7 buries 250 A2 (42% of its interface) in 311-352. Restrict tip contact to 2B7's validated set (326-328, 330, 343-347) rather than forbidding all tip contact.","Computed from 6WER crystal structure. nb_3's own tip contacts {326,327,328,344,345,346} are all within 2B7's set",mimicry_analysis.md / 2b7_reference_interface.csv
6,"Safety construct deletes 271-352, removing 4 of 5 hotspots",mimicry_analysis.md v1,RETRACTED - BACKWARDS,"Two different constructs were conflated. Wan 2014 (PMID 24658118) deletes 271-352. The 2024 construct (PMID 39143088) RETAINS 153-312, i.e. retains all five hotspots and the whole epitope, deleting only from 313 - which supports the project's 311 boundary.",Both abstracts retrieved via PubMed E-utilities in-session,mimicry_analysis.md v2 / citations_verified.csv
7,Linear BLOSUM 7-mer scanning can localise the host-mimicry motif,mimicry_analysis.md v1 method,DISCARDED,"Method failed its own positive control (the experimentally mapped 2A5 epitope scored z=-1.2, below the random mean, ranked 8th of 804). Conformational mimicry is not detectable by linear sequence scanning.","Positive control: NS1 305-311 vs plasminogen, Chuang 2016 PMID 26712948",mimicry_method_validation.csv
8,3G2/4B8 should be adopted as the primary sandwich partner,sandwich_partner_finding.md v1,RETRACTED,"Sterically ideal (18.3 A clearance, 0 clashes) but only 31% DENV1-4 conserved -> serotype-biased assay. Keep the de-novo second epitope (74-123, 75% conserved) as primary; use 3G2 only as a methods-development ternary model.",Conservation computed from a DENV1-4 + ZIKV NS1 alignment built from UniProt polyproteins,sandwich_partner_finding.md v2 / epitope_conservation_all.csv
9,The N-terminal decoy is an artefact of monomer-based prediction; switch the harness to the dimer,switch_geometry_addendum.md section 4 (this session),WITHDRAWN,"Tested directly and refuted. Dimer on-epitope 1/5 vs monomer 3/5. Decoys relocated to cross-protomer poses rather than disappearing. Keep the MONOMER for design iteration; the decoy preference belongs to nb_3's +3 paratope, not to the target representation.","Job 970e8822. Controls passed: monomer arm reproduced exactly; dimer built correctly on 5/5 seeds (2.5-3.1 A from crystal, 41/41 interface residues)",dimer_revalidation.md
10,nb_3's pose is reproducible (on-epitope every seed),gate_calibration_finding.md v2,CORRECTED,"nb_3 is on-epitope in 3 of 5 seeds. Its single gate-passing seed (3) is OFF-epitope, on the N-terminal decoy.",Per-seed contacts measured from coordinates for all 15 predictions; the v2 claim had been assumed rather than measured,gate_calibration_multiseed.csv
11,The two-VHH:NS1 ternary complex prediction is the minimum-viable deliverable,"switch_construction_plan.md v2 (§0 TL;DR, §3c, Day 3-4)",INVALIDATED,"The co-folding predictor mislocates a reference antibody on this target, so a predicted ternary is uninterpretable. The switch deliverable is a predictor-independent geometric SPECIFICATION, not a modelled complex.","3G2 (8JKF) recovers 0/16 of its own cryoEM epitope in 10/10 runs, landing on the beta-ladder; confidence unremarkable (ipTM 0.41-0.63, pLDDT 0.91). Two ruled-out alternatives (missing residues; oligomer occlusion, 1/16 within 5A of partner protomer).",ternary_finding.md / ternary_results.csv
12,Epitope burial ceiling is ~370 A2,switch_construction_plan.md v2 banner; next_steps.md v1 Day 2; fig5 caption,RETRACTED,No hard ceiling. Epitope burial across 15 full-length on-epitope poses ranges 119-413 A2 (median 238); one pose exceeds the claimed ceiling. Honest statement: the median achievable (238 A2) sits below 2B7's crystallographic 320 A2.,"Direction B re-derived on 15 independent full-length on-epitope poses (7 designs x 5 seeds), target-side BL-filtered burial.",direction_b_tractability.md / direction_b_burial.csv
13,The five nominated hotspots cannot be engaged by a single paratope (restated as '>=2 of cluster A'),switch_construction_plan.md v2 banner point 2; next_steps.md v1 Day 2,WITHDRAWN,"Hotspots are reachable but not reproducibly. Three cropped-target designs contacted all five; on full-length NS1 the best is 269 in 3/5 seeds. Acceptance is epitope fidelity (methods 7.2), not a hotspot count. Report hotspots as per-seed frequencies, never a union across seeds.",shortlist_refeasibility.csv (3/42 contact all five cropped); rescue_summary.csv (per-seed hotspot frequency on full-length).,reranking_finding.md / rescue_finding.md
14,Paratope charge redesign is the remaining structural lever on nb_3's decoy problem,binder_status.md v1 (item 2); next_steps.md v1; dimer_revalidation.md consequence 2,REFUTED,"Net charge is not the handle. Four paratope charge variants (net +1/+2/+3/+5, +5 as reverse control), 20 predictions: no variant beat baseline. The decoy preference belongs to nb_3's paratope but is not a monotone net-charge effect.","Spearman(CDR net charge, epitope contacts) = -0.137, p = 0.564, n = 20.",charge_variant_results.csv
15,Tip 311-352 avoidance is a valid safety criterion (tip burial <=40 A2),switch_construction_plan.md v1 L5; project epitope constraints,"REFUTED (criterion unsatisfiable, not merely unmet)","The epitope (261-305) and tip (311-352) are interdigitated strands of one beta-sheet. 0/15 designed poses meet tip burial <=40 A2 (min 91 A2, 2.3x the limit); epitope-vs-tip burial r=0.706, p=0.0033. The protective antibody 2B7 also fails (320 epitope / 250 tip A2). Substitute a RELATIVE criterion: tip contact restricted to 2B7's validated set (326-328,330,343-347). Mimicry risk remains unresolved and is not computationally resolvable.","15 full-length on-epitope poses + 2B7 crystallographic reference (6WER), target-side BL-filtered burial.",direction_b_tractability.md / direction_b_burial.csv
